epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1016.93,2.79414,8.63381,2.49984,0.00093,0.35545,0.0065,0.00168,2.51611,6.5199,2.39714,0.000301665,0.000301665,0.000301665
2,1863.96,2.54307,6.04264,2.23096,0.57965,0.04177,0.02425,0.00877,2.46849,4.81822,2.18201,0.000544803,0.000544803,0.000544803
3,2534.92,2.50167,4.65397,2.21495,0.445,0.06983,0.04449,0.01287,2.39064,4.47466,2.19594,0.000727947,0.000727947,0.000727947
4,27607.5,2.4215,4.12869,2.22181,0.50181,0.05155,0.06606,0.02237,2.44773,3.88336,2.17771,0.000639027,0.000639027,0.000639027
5,28419.7,2.34077,3.71036,2.13294,0.46842,0.05838,0.07573,0.02541,2.38454,3.64035,2.17685,0.000549036,0.000549036,0.000549036
6,29023,2.24255,3.40047,2.10994,0.48299,0.16974,0.12492,0.04055,2.28122,3.27491,2.14526,0.000459045,0.000459045,0.000459045
7,29627.9,2.20448,3.17275,2.05969,0.20459,0.16408,0.14164,0.054,2.21157,3.22223,2.08884,0.000369054,0.000369054,0.000369054
8,30229.7,2.10497,2.94535,1.98675,0.24348,0.20228,0.18419,0.07193,2.21577,2.99352,2.0749,0.000279063,0.000279063,0.000279063
9,30832,2.06207,2.74903,1.93855,0.2843,0.23891,0.18222,0.06952,2.14409,2.89443,2.0304,0.000189072,0.000189072,0.000189072
10,31469,1.99811,2.54422,1.87852,0.36908,0.23384,0.21533,0.08172,2.1725,2.78441,2.03749,9.9081e-05,9.9081e-05,9.9081e-05
